State,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine
AL,0 ,0 ,48 
KY,750 ,76 ,47 
KY,3197,260 ,47 
TN,16783,403 ,47 
CO,97563,44041,46 
MO,0 ,0 ,46 
TX,0 ,333124,46 
MN,14789,0 ,45 
FL,98322,0 ,44 
TX,0 ,0 ,44 
UT,0 ,0 ,43 
KS,45984,75420,42 
IA,0 ,0 ,42 
SC,69662,13646,41 
NY,138050,12463,41 
OK,0 ,51 ,40 
NJ,875640,21453,39 
FL,7244,48 ,35 
FL,1242,256 ,35 
RI,955 ,0 ,35 
TX,0 ,0 ,35 
FL,0 ,79 ,35 
CT,0 ,0 ,34 
WA,22945,619 ,34 
TX,0 ,0 ,34 
MN,0 ,0 ,34 
MN,5298,134 ,34 
IL,2264,1514,33 
NC,4846,930 ,33 
TX,78537,5540,33 
PA,0 ,74 ,33 
TX,441577,99171,33 
FL,1884,587 ,33 
FL,3577,90 ,33 
TX,0 ,24477,33 
AZ,2912,0 ,33 
FL,783 ,0 ,33 
MI,35849,3289,32 
LA,0 ,0 ,32 
SC,4394,796 ,32 
TN,6444,136 ,32 
KS,13484,157 ,32 
MO,197 ,0 ,31 
GA,0 ,0 ,31 
OK,0 ,29811,31 
MO,21633,3043,31 
AR,0 ,0 ,31 
OK,0 ,6474,31 
ID,304 ,0 ,31 
MO,627443,45021,28 
WI,39316,4516,27 
KY,10411,3076,26 
GA,30255,7702,26 
WV,9793,872 ,26 
NY,0 ,170 ,20 
NJ,157 ,1326,20 
NJ,5050,19668,20 
NJ,0 ,246 ,19 
NJ,39495,5922,19 
CA,0 ,0 ,19 
PA,0 ,0 ,19 
CA,0 ,0 ,19 
CA,254057,5415,18 
CA,4719,12867,18 
IL,44345,7918,18 
CO,10108,94485,18 
NY,4874,0 ,17 
FL,0 ,0 ,17 
FL,0 ,0 ,17 
AZ,6645,24339,17 
FL,90689,6217,17 
MN,23296,3118,17 
CO,42113,1563,17 
FL,40658,46085,17 
FL,308 ,0 ,17 
CA,8590,1099,17 
FL,0 ,0 ,17 
AZ,72333,5252,17 
FL,2827,193 ,17 
FL,48067,1336,17 
AZ,0 ,0 ,17 
AZ,108 ,240 ,17 
FL,0 ,0 ,17 
AZ,0 ,0 ,17 
NY,13575,1495,17 
FL,3070,236 ,17 
TX,0 ,0 ,17 
FL,7129,797 ,17 
CA,3435,28582,17 
MN,15981,427 ,17 
FL,6319,4825,17 
FL,8836,5052,17 
GA,15973,3019,17 
TX,30653,1243,17 
WY,0 ,438 ,17 
FL,16612,0 ,17 
FL,0 ,79 ,17 
IL,14642,3877,17 
WA,49590,5870,17 
CA,34029,4033,17 
FL,104779,9359,17 
TX,0 ,0 ,17 
WV,13355,608 ,16 
PA,0 ,0 ,16 
AL,399 ,0 ,16 
OK,0 ,109 ,16 
PA,119 ,74 ,16 
TX,0 ,0 ,16 
AL,0 ,0 ,16 
NM,36552,26391,16 
SC,7209,1873,16 
GA,0 ,105 ,16 
OK,0 ,193 ,16 
WI,15820,2976,16 
NC,25911,2173,16 
SC,155 ,0 ,16 
OK,0 ,312 ,16 
PA,0 ,0 ,16 
ME,0 ,0 ,16 
SC,96196,973725,16 
WI,113934,103750,16 
WV,14489,5211,16 
IN,0 ,0 ,16 
WI,230 ,7538,16 
AL,148223,2700,16 
AL,0 ,0 ,16 
OK,28850,7115,16 
OK,0 ,5773,16 
TX,1703,683 ,16 
OK,0 ,0 ,16 
NY,75637,3410,16 
OK,0 ,522 ,16 
AL,0 ,0 ,16 
MI,9446,62 ,16 
TX,14462,1752,16 
PA,559 ,288 ,16 
AL,0 ,0 ,16 
OK,241 ,175 ,16 
AR,0 ,0 ,15 
MS,3857,10591,15 
MS,16708,10046,15 
AR,0 ,0 ,15 
MS,55010,120034,15 
TX,43622,12199,14 
SC,7448,1112,14 
LA,29875,5576,13 
CA,17477,24762,0 
CO,0 ,769 ,0 
CO,258 ,380 ,0 
FL,0 ,1662,0 
FL,12308,1326,0 
FL,6017,0 ,0 
FL,174 ,0 ,0 
GU,0 ,505 ,0 
IL,76 ,202 ,0 
IL,0 ,139 ,0 
KY,127827,9806,0 
KY,607514,12844,0 
MI,50 ,0 ,0 
NC,25 ,1390,0 
NC,438 ,0 ,0 
NY,400 ,540 ,0 
NY,94 ,76 ,0 
OK,51 ,0 ,0 
PA,14937,0 ,0 
TX,0 ,35820,0 
TX,0 ,57660,0 
UT,382 ,175 ,0 
VA,0 ,702 ,0 
NC,0 ,4793,0 
CA,131 ,87 ,0 
IN,3256,689 ,0 
WA,185 ,0 ,0 
AR,0 ,100 ,0 
NC,0 ,200 ,0 
SC,0 ,11538,0 
TX,23 ,0 ,0 
NV,0 ,354 ,0 
PA,19555,5253,0 
OH,880 ,5719,0 
NM,0 ,53809,0 
AZ,17255,1130,0 
AL,574 ,461 ,0 
MD,0 ,11954,0 
WA,9095,10528,0 
NJ,0 ,2882,0 
TX,510 ,0 ,0 
WA,339 ,0 ,0 
TX,0 ,30345,0 
NJ,0 ,6427,0 
FL,28978,1159,0 
GA,81537,740894,0 
IL,10329,9810,0 
GA,163630,2141740,0 
OK,170 ,0 ,0 
PA,21783,6644,0 
NE,2861,40927,0 
LA,0 ,53 ,0 
MN,12520,1164,0 
VA,750 ,0 ,0 
MO,0 ,125 ,0 
TN,227 ,6398,0 
NY,96878,0 ,0 
CA,1843,105 ,0 
IL,6829,299 ,0 
VA,364306,7898638,0 
CO,310 ,0 ,0 
NC,60944,10187,0 
IN,172539,802945,0 
FL,657 ,35 ,0 
PA,231 ,1227,0 
CA,568598,32121,0 
VA,57 ,0 ,0 
TX,8029,2209,0 
CA,3137,89 ,0 
NJ,0 ,1531,0 
TN,286098,790796,0 
FL,23438,367 ,0 
GA,10073,410186,0 
WV,36 ,0 ,0 
AZ,0 ,20406,0 
LA,154 ,0 ,0 
CA,130733,249456,0 
IL,0 ,79 ,0 
NE,12974,116816,0 
OK,53 ,0 ,0 
TX,0 ,901 ,0 
LA,0 ,488968,0 
KS,3528,955 ,0 
CA,235 ,0 ,0 
TN,92999,34671,0 
MO,60397,136 ,0 
NJ,12305,0 ,0 
TX,0 ,20 ,0 
UT,187 ,9 ,0 
GA,1099,684 ,0 
WI,100841,352 ,0 
MS,459 ,66 ,0 
FL,0 ,529 ,0 
MD,0 ,514 ,0 
FL,0 ,1375,0 
NJ,1424,436282,0 
PA,26206,4602,0 
CA,4150,2043,0 
WA,261 ,325 ,0 
IN,7301,756 ,0 
WI,0 ,124 ,0 
TX,223996,51250,0 
WI,624 ,151 ,0 
NJ,875 ,64300,0 
CA,0 ,2988,0 
OR,25962,6828,0 
OH,46491,25576,0 
FL,0 ,82 ,0 
CA,170628,94932,0 
TN,190025,698200,0 
PA,0 ,310 ,0 
KS,8567,284 ,0 
NJ,0 ,2391,0 
KY,0 ,130 ,0 
AR,3369,2263,0 
IL,3758,7709,0 
WA,0 ,2293,0 
TX,147023,249609,0 
NJ,0 ,633 ,0 
OH,0 ,11 ,0 
NM,1473,0 ,0 
NJ,0 ,5833,0 
TX,0 ,824 ,0 
