State,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine
NJ,0 ,829 ,0 
IL,0 ,3468,0 
WI,2535,436 ,0 
MI,51 ,0 ,0 
UT,12487,54510,0 
IL,42750,2272299,0 
WI,184 ,287 ,0 
TX,1698,404995,0 
FL,0 ,1015,0 
MO,0 ,1984,0 
FL,11343,694 ,0 
PA,36 ,0 ,0 
FL,1598779,0 ,0 
CA,270 ,2099,0 
OH,1848,67027,0 
IL,0 ,858 ,0 
OH,7665,3533,0 
NJ,28 ,57 ,0 
TX,1010369,346627,0 
NJ,0 ,42602,0 
NE,392 ,307 ,0 
WI,61 ,0 ,0 
UT,0 ,802 ,0 
FL,4239,2658,0 
CA,0 ,190 ,0 
WI,30552,9237,0 
IN,7277,713 ,0 
CA,297 ,0 ,0 
ME,1090,0 ,0 
MN,11482,3371,0 
MI,43 ,0 ,0 
IL,0 ,1757,0 
PA,4033,2837,0 
CO,36027,4259,0 
PA,26 ,0 ,0 
KY,1013,1322,0 
NJ,188968,83153,0 
GA,0 ,23326,0 
NJ,0 ,103 ,0 
KY,301 ,0 ,0 
PA,145 ,0 ,0 
OK,582 ,0 ,0 
GA,1856,733810,0 
MN,24280,42539,0 
OK,3970,7576,0 
TX,1416,0 ,0 
GA,9361,2353,0 
NC,0 ,24412,0 
MN,34963,6738,0 
PA,31480,7133,0 
LA,38324,7588,0 
MI,0 ,43 ,0 
PA,80 ,49 ,0 
AR,134 ,0 ,0 
FL,0 ,1035,0 
WA,141 ,0 ,0 
FL,0 ,505 ,0 
FL,125 ,190996,0 
NY,22927,1728,0 
TX,66964,9997,0 
FL,0 ,31379,0 
FL,0 ,9 ,0 
MN,2717,1138,0 
IL,0 ,1215,0 
FL,139 ,518 ,0 
NV,0 ,18472,0 
CA,753 ,4112,0 
PA,568 ,266 ,0 
ND,468 ,1841,0 
TX,360 ,0 ,0 
TN,697 ,0 ,0 
KY,1358,55153,0 
GA,152090,0 ,0 
FL,699 ,0 ,0 
NE,0 ,113 ,0 
WI,0 ,1042,0 
CA,91892,6805,0 
IL,44 ,0 ,0 
AL,9783,1621,0 
MS,18969,3057,0 
WI,2538,541 ,0 
IL,292 ,15 ,0 
OK,578689,3062298,0 
CA,0 ,62126,0 
IA,5656,863 ,0 
OH,9 ,18 ,0 
TX,80 ,0 ,0 
NC,66 ,584 ,0 
IL,14323,14792,0 
FL,37638,2870,0 
WI,141 ,36 ,0 
MA,14843,27671,0 
SC,128 ,496 ,0 
IL,0 ,567 ,0 
TX,2455,304 ,0 
NY,0 ,4390,0 
WI,0 ,5886,0 
NY,712 ,0 ,0 
CA,24914,854 ,0 
AR,30023,766 ,0 
FL,75 ,75 ,0 
TX,0 ,3582,0 
OH,0 ,73 ,0 
CT,82 ,0 ,0 
NC,122 ,73 ,0 
GA,0 ,1703,0 
PA,155 ,6837,0 
OH,74 ,0 ,0 
FL,82562,10372,0 
KY,66 ,0 ,0 
TX,0 ,1500,0 
TX,143 ,143688,0 
MD,2647,119 ,0 
MN,540 ,777 ,0 
FL,0 ,3215,0 
TN,120270,61446,0 
MD,245 ,731 ,0 
VA,4747,2829,0 
TX,73 ,78 ,0 
VA,634392,3092030,0 
WA,43 ,0 ,0 
TX,0 ,2156,0 
FL,191633,28578,0 
IL,143186,63594,0 
NY,0 ,26983,0 
CA,0 ,207 ,0 
TN,58591,10055,0 
OK,666658,59366,0 
NY,2218,111 ,0 
TX,2183615,498429,0 
AL,25511,5846,0 
PA,5708,1630,0 
IL,96 ,0 ,0 
MA,0 ,46 ,0 
IN,0 ,1808,0 
DE,0 ,14274,0 
TX,0 ,3858,0 
KS,256953,7100,0 
TX,8397,921 ,0 
MN,0 ,90 ,0 
NY,2788,233601,0 
TN,0 ,252 ,0 
TX,151666,55054,0 
NY,13075,1462,0 
CA,2435,2685,0 
NY,562 ,0 ,0 
LA,16823,26507,0 
WV,0 ,129 ,0 
WA,163569,272194,0 
OH,48 ,0 ,0 
FL,47174,6792,0 
MI,54 ,0 ,0 
FL,6947,249 ,0 
IL,14657,5518,0 
NY,127 ,8823,0 
TN,0 ,17528,0 
MI,0 ,51 ,0 
MN,10001,1564,0 
CO,32018,122398,0 
TN,96074,38124,0 
NM,0 ,74 ,0 
CA,10457,2822,0 
NJ,0 ,15648,0 
TX,0 ,37246,0 
VA,224 ,271 ,0 
NE,15793,25591,0 
MS,97 ,0 ,0 
VA,4101,363 ,0 
MO,6051,1647,0 
IL,72854,335 ,0 
VA,0 ,1766,0 
AZ,1138,67 ,0 
IA,15599,16498,0 
OH,7246,103 ,0 
NJ,381 ,0 ,0 
MD,716 ,3439,0 
KS,0 ,36908,0 
AZ,210 ,1168,0 
TX,51 ,1143,0 
MT,1538,15204,0 
NC,22 ,22 ,0 
NJ,0 ,48629,0 
NC,124 ,0 ,0 
CA,132 ,0 ,0 
NY,7454,0 ,0 
IA,15710,26756,0 
OR,0 ,656 ,0 
CA,5817,1430,0 
MS,0 ,3012,0 
FL,78982,2165513,0 
OK,0 ,4744,0 
AL,0 ,2729,0 
IN,223 ,134 ,0 
CA,34466,21808,0 
MS,237785,26099,0 
DC,149 ,0 ,0 
FL,10815,1793,0 
NY,1004,4258,0 
IL,466 ,616 ,0 
NC,10311,2428,0 
AL,19037,34738,0 
NY,0 ,69700,0 
IL,104 ,0 ,0 
TN,0 ,2383,0 
CA,149 ,3030,0 
NV,0 ,1511,0 
FL,818 ,0 ,0 
IL,63188,38117,0 
VA,92 ,0 ,0 
OR,104 ,103 ,0 
GA,53900,0 ,0 
KY,0 ,2167,0 
TX,528599,300 ,0 
NJ,0 ,183036,0 
KS,286 ,0 ,0 
IN,53 ,0 ,0 
TX,0 ,5275,0 
OH,0 ,9500,0 
TX,0 ,6443,0 
FL,0 ,166 ,0 
MO,21557,668308,0 
OH,381 ,247 ,0 
FL,33697,229300,0 
WA,3701,978 ,0 
SC,830690,1213837,0 
MS,0 ,147764,0 
NC,0 ,118 ,0 
NY,0 ,1303,0 
MA,56 ,0 ,0 
VA,45624,4164,0 
CO,133 ,0 ,0 
MN,168 ,23 ,0 
IL,0 ,2459,0 
WI,0 ,545 ,0 
CA,1046,0 ,0 
NC,2092,515 ,0 
GA,10624,1413,0 
IN,118324,51449,0 
NJ,2660,2511966,0 
PA,248 ,0 ,0 
IL,0 ,29565,0 
NC,868 ,168 ,0 
CA,399 ,86 ,0 
TN,67 ,0 ,0 
CT,0 ,9765,0 
NC,357 ,0 ,0 
OK,7553,1208,0 
RI,10157,968 ,0 
SC,54455,0 ,0 
TX,744 ,335013,0 
PA,5646,13833,0 
NY,223 ,1677,0 
SC,40985,3734,0 
NC,114700,0 ,0 
CA,478 ,158 ,0 
KY,0 ,1281,0 
CA,267464,130688,0 
NJ,33302,77123,0 
AR,0 ,61225,0 
IL,0 ,178 ,0 
OK,199 ,1044,0 
CA,93936,83211,0 
AL,885902,100816,0 
NV,0 ,84 ,0 
CT,61572,1690803,0 
KY,181 ,88 ,0 
ME,11129,302 ,0 
NV,219 ,0 ,0 
TN,2219,860 ,0 
MI,800 ,0 ,0 
TX,0 ,3763,0 
MD,0 ,2490,0 
GA,118375,2638537,0 
AR,153 ,0 ,0 
NJ,611 ,213 ,0 
CT,0 ,3894,0 
MO,0 ,6600,0 
WA,0 ,254545,0 
DC,0 ,44832,0 
TX,146 ,73 ,0 
NJ,73 ,147 ,0 
TX,465 ,0 ,0 
PA,0 ,381 ,0 
IL,1514,0 ,0 
IN,5241,0 ,0 
FL,0 ,1409,0 
TX,180 ,10814,0 
GA,15591,35632,0 
AL,0 ,36443,0 
KS,146 ,7648,0 
GA,222187,47414,0 
TN,396784,176410,0 
NC,227919,470788,0 
IA,5048,23238,0 
CA,23 ,4303,0 
NJ,18 ,13635,0 
TX,7519,550 ,0 
VA,334547,14223,0 
KS,403 ,0 ,0 
GA,0 ,6066,0 
NJ,3685,5895,0 
TX,0 ,3605,0 
CA,114 ,969 ,0 
SC,6017,446135,0 
AL,0 ,370 ,0 
NY,783 ,0 ,0 
IL,112237,51879,0 
NJ,180 ,818 ,0 
LA,51 ,4401,0 
AZ,59786,256906,0 
TX,0 ,778 ,0 
OR,53817,4612,0 
TX,14363,3122,0 
FL,4441,212 ,0 
AZ,471 ,90 ,0 
MO,328 ,0 ,0 
GA,0 ,532 ,0 
WA,2014,450 ,0 
LA,3339,0 ,0 
OR,0 ,178 ,0 
NY,44018,14716,0 
TX,2886,43 ,0 
VA,2909,141 ,0 
CA,114865,14479,0 
IL,143 ,737 ,0 
RI,1613,30463,0 
WI,0 ,1889,0 
NY,488 ,0 ,0 
NY,0 ,13630,0 
TX,169357,634217,0 
IL,6288,2290,0 
GA,405 ,170 ,0 
GA,1779,349 ,0 
NC,17809,46006,0 
CT,3441,0 ,0 
GA,5470,908 ,0 
NC,3917201,43162,0 
UT,306 ,1344,0 
TX,9341,1747,0 
GA,0 ,52 ,0 
MI,0 ,145 ,0 
TN,11903,104273,0 
FL,0 ,26171,0 
TN,32644,3841,0 
CT,187 ,2083,0 
CA,0 ,10764,0 
IL,0 ,1721,0 
FL,0 ,9 ,0 
CA,0 ,12707,0 
OH,0 ,62 ,0 
VA,85734,14940,0 
TX,0 ,28273,0 
AL,90359,499926,0 
NH,0 ,66 ,0 
IL,177467,78042,0 
RI,0 ,1528,0 
TX,7576,0 ,0 
NJ,1691,49864,0 
FL,149446,700 ,0 
PA,0 ,39978,0 
TN,20063,641 ,0 
MO,0 ,4995,0 
MI,6277,0 ,0 
NY,1961,0 ,0 
GA,0 ,34021,0 
MN,11345,116 ,0 
LA,521 ,290 ,0 
NC,5298,587 ,0 
MN,14814,2032,0 
NY,8044,237918,0 
TN,268997,440718,0 
MD,33666,7776,0 
MI,284 ,3050,0 
MA,0 ,193 ,0 
TN,0 ,452 ,0 
IL,0 ,22301,0 
AL,7360,10765,0 
FL,333 ,0 ,0 
CA,231 ,0 ,0 
CT,0 ,841 ,0 
ID,481414,408322,0 
CA,271 ,0 ,0 
FL,30972,284381,0 
NY,0 ,90 ,0 
MO,496957,386198,0 
NJ,10 ,0 ,0 
MI,0 ,20174,0 
IN,0 ,160 ,0 
OH,0 ,138 ,0 
RI,0 ,15802,0 
SC,5490,1504,0 
MN,1663,0 ,0 
NY,0 ,316 ,0 
GA,0 ,34886,0 
CA,59 ,0 ,0 
MI,1809,0 ,0 
TX,0 ,5 ,0 
NY,696 ,0 ,0 
TX,0 ,1277,0 
NY,0 ,30 ,0 
MD,263 ,624 ,0 
MA,0 ,86 ,0 
IL,42632,58388,0 
MN,121190,175000,0 
MS,0 ,240 ,0 
MN,0 ,39 ,0 
WA,1172,0 ,0 
GA,0 ,75 ,0 
MI,0 ,374 ,0 
GA,204762,827078,0 
OH,54 ,0 ,0 
FL,18084,150 ,0 
IL,28096,126218,0 
TX,2717,198 ,0 
WI,0 ,611 ,0 
AL,0 ,2225,0 
NC,1538,20539,0 
NY,0 ,691 ,0 
AR,6836,1246,0 
NC,0 ,8 ,0 
NY,4061,0 ,0 
MO,8 ,34 ,0 
NM,0 ,791 ,0 
FL,49587,15037,0 
KY,0 ,72 ,0 
ME,61 ,0 ,0 
NJ,137 ,40090,0 
GA,386546,84216,0 
AZ,34925,226 ,0 
TN,1314,332 ,0 
IN,8931,333 ,0 
TN,0 ,19783,0 
AZ,20330,5337,0 
MO,0 ,1039,0 
OH,0 ,4067,0 
SD,417912,1491198,0 
CA,83724,346963,0 
NJ,55 ,344 ,0 
CA,219 ,2457,0 
SC,203 ,0 ,0 
TX,1012177,3968668,0 
PA,0 ,1272,0 
SC,620122,1849216,0 
NV,26733,12805,0 
MI,2688,0 ,0 
VA,2031,244 ,0 
MD,82 ,174 ,0 
IL,68 ,0 ,0 
TX,69802,21291,0 
MD,0 ,89 ,0 
MI,0 ,35 ,0 
NJ,0 ,1630,0 
IA,11348,5034,0 
VA,2797,2071,0 
ID,0 ,173319,0 
VA,308693,44861,0 
GA,183 ,242107,0 
AZ,0 ,54905,0 
AL,0 ,1755,0 
IL,90 ,2293,0 
CO,177 ,0 ,0 
TX,0 ,82 ,0 
TX,0 ,6441,0 
AR,3389,120 ,0 
CA,90810,27218,0 
IN,97 ,0 ,0 
TN,97 ,0 ,0 
SD,4372,89 ,0 
CT,0 ,1255,0 
CA,146 ,0 ,0 
CA,8813,1075,0 
TN,14955,2276,0 
OH,0 ,44 ,0 
KY,425 ,50 ,0 
TX,527 ,111598,0 
IL,0 ,2066,0 
TX,0 ,5575,0 
TN,0 ,154 ,0 
GA,243 ,0 ,0 
FL,159 ,0 ,0 
TX,0 ,938 ,0 
NC,3918,2229,0 
CA,16382,1623140,0 
NY,47 ,0 ,0 
HI,37 ,0 ,0 
LA,103511,993724,0 
NY,0 ,10876,0 
NY,318 ,3048,0 
GA,0 ,12883,0 
FL,5526,195 ,0 
FL,2747,5647,0 
CA,583974,1249,0 
VA,358 ,0 ,0 
PA,6186,1104,0 
CA,1186,139 ,0 
CO,766 ,19500,0 
MO,126517,199285,0 
MI,120 ,424 ,0 
NJ,0 ,79 ,0 
IL,0 ,51 ,0 
TX,565 ,51 ,0 
MN,8115,465 ,0 
AR,53616,9528,0 
TX,2164,109542,0 
TX,655 ,78 ,0 
NJ,0 ,2645,0 
AL,85146,61227,0 
IN,31045,180920,0 
FL,0 ,16410,0 
FL,91 ,0 ,0 
MI,0 ,1333,0 
NY,0 ,61 ,0 
CO,225103,14800,0 
IL,0 ,39988,0 
IA,162 ,1644,0 
MI,2015,241 ,0 
CO,710 ,1046,0 
FL,2634,156 ,0 
TX,7144,2775,0 
TX,33154,4693,0 
MA,0 ,137 ,0 
KY,204 ,367 ,0 
GA,32965,34300,0 
MT,1969,243 ,0 
PA,95 ,29 ,0 
OK,8930,248 ,0 
CA,51731,39103,0 
AL,15096,18 ,0 
IN,0 ,341 ,0 
GA,70 ,813 ,0 
NY,0 ,1111,0 
FL,0 ,1587,0 
CA,14911,255 ,0 
NM,3366,678 ,0 
NC,189 ,146 ,0 
MN,27 ,376 ,0 
AZ,2900,0 ,0 
TX,2399,533 ,0 
NC,226918,20203,0 
MS,0 ,3216,0 
OK,1456,4286,0 
MN,1247,209 ,0 
IL,70 ,0 ,0 
NC,0 ,19 ,0 
GA,50454,7665,0 
FL,0 ,34187,0 
MO,0 ,51931,0 
TX,66125,0 ,0 
NY,0 ,64456,0 
IN,0 ,25 ,0 
TN,46 ,22 ,0 
NJ,0 ,151 ,0 
NY,97142,166952,0 
OH,13940,0 ,0 
MN,5199,1457,0 
CA,51 ,206325,0 
TX,32469,24084,0 
NJ,51 ,384750,0 
FL,708822,1206925,0 
TX,1803,373 ,0 
MO,219802,40542,0 
PA,74 ,199 ,0 
FL,0 ,54 ,0 
CO,7815,51917,0 
LA,192 ,197 ,0 
PA,7133,69421,0 
VA,1079,140 ,0 
MN,120 ,0 ,0 
PA,107 ,0 ,0 
WI,0 ,2275,0 
MA,40 ,0 ,0 
FL,97209,122497,0 
KY,27921,2432,0 
MN,1208,145 ,0 
VA,2205,23 ,0 
AZ,233 ,3 ,0 
MN,100 ,336 ,0 
TN,0 ,39940,0 
NC,0 ,976 ,0 
OH,0 ,1942,0 
IA,599 ,0 ,0 
MD,1040,1669,0 
LA,0 ,2341,0 
FL,0 ,2623,0 
IL,0 ,275 ,0 
AZ,347 ,0 ,0 
PA,0 ,993 ,0 
NE,154 ,71 ,0 
VA,126 ,0 ,0 
TX,92348,640648,0 
NJ,3693,312 ,0 
CA,33228,4972,0 
IN,173 ,202 ,0 
MT,16135,290675,0 
VA,0 ,139 ,0 
AZ,0 ,38462,0 
LA,16963,12588,0 
NJ,0 ,18280,0 
OH,0 ,909 ,0 
NY,933412,1143265,0 
DE,0 ,369 ,0 
AR,0 ,105 ,0 
FL,189 ,14156,0 
NC,52519,19703,0 
MA,294 ,1099,0 
FL,978 ,0 ,0 
PA,3794,218 ,0 
PA,60 ,1683,0 
IL,153 ,0 ,0 
TX,46383,8890,0 
HI,632697,22543,0 
IN,0 ,37148,0 
GA,1176,857 ,0 
FL,0 ,26913,0 
MN,23373,7515,0 
MD,180 ,0 ,0 
OR,0 ,1897,0 
NJ,2312,317 ,0 
NJ,72 ,0 ,0 
TX,50125,775 ,0 
NJ,364 ,14092,0 
CA,266 ,0 ,0 
TX,0 ,30848,0 
TX,1140,176 ,0 
AZ,0 ,388 ,0 
OH,1511,1881,0 
NY,1117,1001,0 
NY,0 ,3962,0 
NC,50301,8534,0 
IN,504 ,173 ,0 
NE,480 ,287 ,0 
NY,0 ,420 ,0 
TX,67282,0 ,0 
NY,0 ,90 ,0 
AL,271 ,0 ,0 
TX,0 ,248 ,0 
KY,72678,3319,0 
MO,0 ,35 ,0 
GA,31063,6042,0 
MI,47 ,0 ,0 
MI,0 ,26 ,0 
MI,16107,2889,0 
NY,147 ,0 ,0 
FL,72418,9430,0 
CT,147848,713626,0 
IL,81 ,403 ,0 
UT,0 ,51 ,0 
AR,0 ,237 ,0 
OH,0 ,73 ,0 
TX,0 ,91359,0 
TX,0 ,1236,0 
GA,0 ,1969,0 
NH,4290,1492,0 
CA,2823,834 ,0 
MN,10729,5058,0 
TX,1040,7278,0 
LA,1439,2227,0 
PA,1224,291 ,0 
AZ,321600,0 ,0 
AR,7535,1874,0 
IL,46 ,535 ,0 
CA,53 ,0 ,0 
FL,483 ,0 ,0 
IL,79 ,531 ,0 
OH,0 ,102 ,0 
MD,0 ,2936,0 
NV,0 ,38432,0 
AL,90 ,0 ,0 
CA,5942,174061,0 
IL,79158,48120,0 
MN,1032,400 ,0 
MN,1900,645 ,0 
TN,0 ,494 ,0 
HI,1138,0 ,0 
TX,0 ,1838,0 
WV,3068,3869,0 
MO,0 ,6063,0 
WV,0 ,14919,0 
MO,4710,6720,0 
NJ,0 ,1868,0 
MN,400 ,0 ,0 
NJ,775518,23598,0 
WA,49775,4835,0 
NJ,0 ,9 ,0 
FL,187088,1251327,0 
GA,50219,6624,0 
MA,70 ,269 ,0 
WI,0 ,427 ,0 
TX,172573,65823,0 
MA,4159,79 ,0 
CA,0 ,143 ,0 
MO,23651,0 ,0 
IA,24669,135008,0 
IN,6050,0 ,0 
FL,192 ,45 ,0 
PA,0 ,27 ,0 
NJ,53879,23749,0 
WA,0 ,897 ,0 
AZ,1779439,31050,0 
TX,47167,108778,0 
MI,87 ,81 ,0 
GA,100 ,0 ,0 
NC,118 ,560 ,0 
TX,0 ,28 ,0 
NJ,123 ,0 ,0 
IL,0 ,27 ,0 
NJ,8155,2063273,0 
MD,33409,7894,0 
SC,0 ,338 ,0 
NJ,173747,760307,0 
TX,22634,1907,0 
NC,37 ,0 ,0 
MI,0 ,73 ,0 
AL,3329,73 ,0 
AR,0 ,1514,0 
PA,0 ,172 ,0 
FL,364056,86496,0 
TX,0 ,9586,0 
NJ,8809,1337,0 
CA,22869,6752,0 
MI,88 ,0 ,0 
TX,8524,604468,0 
NY,69677,1714,0 
MI,0 ,158 ,0 
SC,0 ,7368,0 
NY,0 ,39 ,0 
MI,56229,8115,0 
CA,210513,124628,0 
WA,71507,440217,0 
ID,8604,1607,0 
CT,0 ,107 ,0 
TX,0 ,3322,0 
CA,251 ,0 ,0 
MD,0 ,118 ,0 
NY,41340,3394,0 
MO,0 ,4355,0 
LA,2293,9079,0 
TN,32365,10969,0 
TX,103 ,14226,0 
NY,174 ,0 ,0 
VT,0 ,64 ,0 
IA,1891,74 ,0 
GA,1644,331 ,0 
WA,470 ,12106,0 
NY,0 ,361 ,0 
WA,2005,125 ,0 
NY,2298,5400,0 
NJ,531 ,797 ,0 
OR,58669,1337,0 
LA,122 ,0 ,0 
GA,0 ,49 ,0 
PA,103 ,0 ,0 
OR,576 ,640 ,0 
IA,1051,266 ,0 
TX,0 ,14086,0 
TX,38564434,10172800,0 
OH,5849,1120,0 
TX,1026839,97404,0 
VA,0 ,1075,0 
MD,67247,479262,0 
TX,1642,166532,0 
WA,5799,572 ,0 
NC,0 ,336 ,0 
MI,46486,86079,0 
OH,26 ,0 ,0 
IL,0 ,89151,0 
NV,5395,461 ,0 
NH,1573,0 ,0 
FL,0 ,3012,0 
NJ,0 ,135499,0 
SC,11613,5283,0 
NC,1232,1523,0 
CO,0 ,19 ,0 
IN,71 ,95 ,0 
MA,54 ,0 ,0 
TN,0 ,10101,0 
TX,266 ,257 ,0 
TX,9 ,199 ,0 
FL,11810,9352,0 
CA,24929,18970,0 
FL,0 ,1518,0 
MI,18 ,44 ,0 
OH,1256,2344,0 
AL,181 ,0 ,0 
NC,15626,15560,0 
MA,0 ,15995,0 
IN,61 ,82 ,0 
KY,0 ,1111,0 
FL,45 ,0 ,0 
TN,10171,0 ,0 
TX,497 ,903 ,0 
NY,0 ,959 ,0 
FL,519837,103 ,0 
TX,0 ,66926,0 
NY,0 ,815 ,0 
CA,11448,1434,0 
IL,403 ,0 ,0 
CA,332065,2823,0 
IL,0 ,140710,0 
NY,25 ,0 ,0 
FL,1123,260 ,0 
CO,0 ,2581,0 
FL,75 ,111019,0 
IN,0 ,7463,0 
OK,193 ,0 ,0 
NJ,199647,9052,0 
LA,0 ,204843,0 
OK,0 ,86 ,0 
VA,38293,18519,0 
DE,42130,123 ,0 
SD,51 ,25 ,0 
CA,108 ,0 ,0 
MS,282 ,0 ,0 
IA,0 ,370 ,0 
MA,122 ,0 ,0 
MI,0 ,893 ,0 
FL,0 ,386 ,0 
TN,0 ,58 ,0 
NJ,82 ,0 ,0 
NY,1423,9274,0 
CA,0 ,9 ,0 
IL,24600,0 ,0 
FL,13776,4181,0 
TX,0 ,133 ,0 
NJ,4465,69 ,0 
IN,731 ,244 ,0 
OK,227 ,0 ,0 
MN,0 ,491 ,0 
OR,1609,46 ,0 
FL,0 ,5150,0 
IN,32001,15653,0 
LA,483172,1606,0 
TX,0 ,6663,0 
MO,0 ,44 ,0 
AZ,461866,87964,0 
AL,0 ,690 ,0 
AR,725 ,145 ,0 
PA,0 ,39171,0 
UT,28 ,9 ,0 
IA,99 ,1620,0 
NC,191 ,0 ,0 
PA,0 ,791 ,0 
PR,65898,6393,0 
KY,5076,2847,0 
CA,116063,395051,0 
VA,0 ,885 ,0 
NJ,33981,762 ,0 
OR,35504,44854,0 
GA,32025,2458,0 
KS,0 ,9 ,0 
MN,100 ,0 ,0 
NC,519 ,0 ,0 
TX,0 ,138991,0 
OH,0 ,505 ,0 
AZ,0 ,74 ,0 
AR,0 ,130 ,0 
IA,4691,1646,0 
IN,4276,664 ,0 
FL,402 ,789 ,0 
ME,26 ,0 ,0 
CA,1456773,8554,0 
IL,760 ,314 ,0 
TX,0 ,25901,0 
CT,10401,185 ,0 
IA,222 ,0 ,0 
MO,0 ,52 ,0 
KY,328 ,386 ,0 
IL,0 ,1449,0 
NM,862 ,170 ,0 
MO,87 ,0 ,0 
WI,0 ,196 ,0 
PA,74 ,0 ,0 
TN,72667,6697,0 
AR,648259,10576,0 
GA,214 ,156 ,0 
MA,100 ,100 ,0 
AL,4807,1038,0 
NC,1440,0 ,0 
FL,324 ,459 ,0 
TX,0 ,32166,0 
TX,0 ,5472,0 
LA,41768,257482,0 
OK,0 ,279 ,0 
VA,2187,1387,0 
MD,141 ,0 ,0 
FL,434 ,0 ,0 
DE,11192,3288,0 
KS,236 ,166 ,0 
SC,16209,162580,0 
NJ,85 ,3199,0 
TX,0 ,17 ,0 
PA,0 ,4725,0 
CA,0 ,1223,0 
TX,51761,15561,0 
FL,119906,201412,0 
MA,134023,5969,0 
MO,0 ,9132,0 
MI,31211,1091,0 
WA,207 ,0 ,0 
OH,0 ,138 ,0 
CA,1500,251 ,0 
WY,202 ,331 ,0 
AL,0 ,394 ,0 
NY,4043,20655,0 
TX,0 ,16227,0 
NY,4759,2117,0 
MO,0 ,1606,0 
MA,129 ,0 ,0 
VA,0 ,148 ,0 
NY,291 ,0 ,0 
FL,311950,573792,0 
MN,0 ,31925,0 
GA,0 ,487 ,0 
AZ,1050,45 ,0 
TN,15669,609 ,0 
MO,27885,458 ,0 
TX,2509,1548,0 
IN,0 ,200 ,0 
ID,11700,4137,0 
CT,128 ,1450,0 
DC,304 ,0 ,0 
IL,0 ,33574,0 
OK,30649,16717,0 
MS,172709,71910,0 
KY,536 ,153 ,0 
NC,0 ,4139,0 
LA,5623,1585,0 
MO,0 ,1210,0 
AZ,18329,760 ,0 
NM,88 ,565 ,0 
IN,164 ,0 ,0 
WI,1010,357 ,0 
LA,5198,31550,0 
GA,298635,2884964,0 
TX,35725,782652,0 
NJ,78620,254992,0 
OK,0 ,27 ,0 
TX,20703,657 ,0 
CA,1211,79 ,0 
WI,7337,1669,0 
IN,746 ,253 ,0 
OH,3707528,49416,0 
NY,0 ,59 ,0 
OH,146 ,0 ,0 
IA,8251,0 ,0 
NE,0 ,1032,0 
IL,0 ,203 ,0 
UT,6244,829 ,0 
PA,9399,2963,0 
ME,9015,1383,0 
OH,32300,135 ,0 
IL,0 ,1974,0 
NC,300 ,73 ,0 
NC,60208,45 ,0 
FL,193574,34846,0 
IL,239 ,0 ,0 
TX,0 ,59 ,0 
OH,0 ,2476,0 
ME,700 ,0 ,0 
FL,0 ,201385,0 
MI,181 ,0 ,0 
KS,135 ,45 ,0 
MO,981 ,21 ,0 
CA,29 ,140 ,0 
CA,33208,402 ,0 
NY,230196,314766,0 
TX,167765,0 ,0 
AZ,0 ,894 ,0 
NJ,20077,300 ,0 
CO,17691,2945,0 
NY,131 ,330 ,0 
CA,34029,13576,0 
OH,181 ,198 ,0 
UT,0 ,156 ,0 
AL,124 ,0 ,0 
OH,95 ,1114,0 
TX,0 ,27452,0 
FL,75 ,12778,0 
AZ,32051,19302,0 
NJ,57 ,57 ,0 
AL,65336,653462,0 
MI,173509,50550,0 
WI,0 ,1032,0 
TN,0 ,7870,0 
MN,2673,1381,0 
IL,88860,14763,0 
WY,365 ,110 ,0 
TN,0 ,6782,0 
SD,36198,14817,0 
GA,0 ,267762,0 
CA,1807,411 ,0 
OK,70559,36361,0 
MN,0 ,115 ,0 
NH,0 ,179 ,0 
FL,208636,234084,0 
OR,907 ,0 ,0 
WV,0 ,1045,0 
CA,0 ,9569,0 
NJ,38563,688214,0 
AR,5050,459 ,0 
TX,0 ,1073,0 
NY,0 ,795 ,0 
GA,150409,35232,0 
MI,1318,5223,0 
CA,0 ,1666,0 
OH,0 ,265 ,0 
CA,339 ,0 ,0 
PA,0 ,250 ,0 
PA,0 ,517 ,0 
TX,2097,200 ,0 
CA,183219,0 ,0 
FL,0 ,3133,0 
OH,0 ,135 ,0 
NJ,267 ,1973,0 
UT,1539,257 ,0 
MA,12926,4297,0 
FL,28207,702 ,0 
TX,219 ,688 ,0 
IA,61 ,0 ,0 
CA,29923,37904,0 
GA,2785,2220,0 
CO,27496,8237,0 
NJ,22110,2726,0 
TX,24477,269 ,0 
IL,0 ,389 ,0 
AL,42337,1150,0 
NC,3413,615 ,0 
MO,243 ,70 ,0 
MO,0 ,180 ,0 
PA,0 ,1466,0 
FL,0 ,207 ,0 
NJ,85 ,0 ,0 
CA,0 ,431 ,0 
MN,263 ,1762,0 
FL,125 ,0 ,0 
FL,193 ,0 ,0 
OH,0 ,196 ,0 
VA,388 ,104 ,0 
NY,135769,0 ,0 
TX,0 ,136 ,0 
PA,20 ,295 ,0 
IN,8861,1706,0 
MA,0 ,170 ,0 
NY,167471,486298,0 
DC,386 ,0 ,0 
IL,0 ,379 ,0 
TX,0 ,1597,0 
GA,8682,939 ,0 
MD,0 ,13085,0 
TX,153 ,1465,0 
PA,55 ,162 ,0 
MN,1499,0 ,0 
CA,709 ,192 ,0 
NY,0 ,242985,0 
IN,19676,2590,0 
OH,0 ,9979,0 
IL,47 ,0 ,0 
OK,20605,1209,0 
OK,292 ,718 ,0 
